algorithm,input_type,n,time_ns,max_recursion_depth,comparisons,swaps,recursive_calls
MergeSort,random,100,809500,4,680,0,15
QuickSort,random,100,1426500,3,639,319,64
DeterministicSelect,random,100,437700,5,636,161,14
ClosestPair,random,100,83524400,7,121,0,71
MergeSort,random,1000,1079100,7,10443,0,127
QuickSort,random,1000,2514800,6,13256,4730,676
DeterministicSelect,random,1000,878800,9,7535,1855,89
ClosestPair,random,1000,50231000,10,1134,0,975
MergeSort,random,5000,4181700,10,58981,0,1023
QuickSort,random,5000,1961700,8,74685,34606,3362
DeterministicSelect,random,5000,3340300,13,39289,9657,251
MergeSort,random,10000,4801700,11,128210,0,2047
QuickSort,random,10000,6826000,9,157001,81096,6657
MergeSort,sorted,100,8100,4,99,0,15
QuickSort,sorted,100,52400,4,682,86,68
DeterministicSelect,sorted,100,96300,6,509,170,17
ClosestPair,sorted,100,786500,7,128,0,71
MergeSort,sorted,1000,67900,7,999,0,127
QuickSort,sorted,1000,135700,6,12642,1020,669
DeterministicSelect,sorted,1000,249800,10,5856,1845,91
ClosestPair,sorted,1000,5485000,10,1136,0,975
MergeSort,sorted,5000,382100,10,4999,0,1023
QuickSort,sorted,5000,733500,8,67385,5053,3331
DeterministicSelect,sorted,5000,6456100,11,30133,9377,224
MergeSort,sorted,10000,429800,11,9999,0,2047
QuickSort,sorted,10000,1230700,9,154586,10189,6662
MergeSort,reverse,100,30500,4,731,0,15
QuickSort,reverse,100,21100,4,571,309,65
DeterministicSelect,reverse,100,201700,7,715,174,24
ClosestPair,reverse,100,1305500,7,138,0,71
MergeSort,reverse,1000,394600,7,10368,0,127
QuickSort,reverse,1000,570700,6,9776,3847,669
DeterministicSelect,reverse,1000,1674700,10,8100,1857,82
ClosestPair,reverse,1000,13773400,10,1125,0,975
MergeSort,reverse,5000,2753300,10,44854,0,1023
QuickSort,reverse,5000,811000,8,74809,37770,3346
DeterministicSelect,reverse,5000,1209500,12,42554,9592,244
MergeSort,reverse,10000,5082500,11,94708,0,2047
QuickSort,reverse,10000,1036300,8,156669,56829,6692
MergeSort,duplicate-heavy,100,17500,4,571,0,15
QuickSort,duplicate-heavy,100,13900,2,1350,156,95
DeterministicSelect,duplicate-heavy,100,27900,19,983,272,77
ClosestPair,duplicate-heavy,100,23736800,7,92,0,71
MergeSort,duplicate-heavy,1000,370200,7,10138,0,127
QuickSort,duplicate-heavy,1000,236700,4,17362,5649,950
DeterministicSelect,duplicate-heavy,1000,261900,13,7530,1895,143
ClosestPair,duplicate-heavy,1000,15853800,10,640,0,975
MergeSort,duplicate-heavy,5000,2325300,10,58955,0,1023
QuickSort,duplicate-heavy,5000,851100,7,98074,25679,4750
DeterministicSelect,duplicate-heavy,5000,1043100,26,41294,10076,399
MergeSort,duplicate-heavy,10000,3941400,11,128033,0,2047
QuickSort,duplicate-heavy,10000,1371900,7,225678,72716,9500
